"ms","ms_name_en","cci","programme_title_short","status","version","last_adoption_date_ecms","priority_code","priority_name","policy_objective_short_name","policy_objective_code","policy_objective_name","specific_objective_short_name","specific_objective_code","specific_objective_name","dimension_type","category_title_short","category_code","category_name","fund","category_of_region","cofinancing_rate","eu_amount","total_amount","climate_weighting","eu_climate_amount","total_climate_amount","environmental_weighting","eu_environmental_amount","total_environmental_amount","biodiversity_weighting","eu_biodiversity_amount","total_biodiversity_amount","gender_weighting","eu_gender_amount","total_gender_amount","clean_air_weighting","eu_clean_air_amount","total_clean_air_amount","digital_weighting","eu_amount_digital","total_amount_digital","sustainable_urban_development","territorial_tool","territory_type","un_sdg_tracking","jtf_themes","priority_type_code","priority_type_description"
"IT","Italy","2021IT16RFPR014","Piemonte - ERDF","Adopted by EC","2","2023-03-15","I","RSI, competitività e transizione digitale","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","More developed","0.4","126000000","315000000",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"CY","Cyprus","2021CY65BVPR001","Cyprus - BMVI","Adopted by EC (TF Proposed)","1.2","2023-01-23",,,"PO1 Borders and visa","1","Borders and visa","2 Common visa policy","2","Common visa policy","Intervention Field","SO2.001 Improving visa application processing","SO2.001","Improving visa application processing","BMVI","BMVI","0.8420581586","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
"SK","Slovakia","2021SK16FFPR001","Programme Slovakia – SK– ERDF/CF/JTF/ESF+","Adopted by EC","1.2","2022-11-24","4P1","Adaptabilný a prístupný trh práce","PO4 Social Europe","4","Social Europe","ESO4.2 Modernising labour market institutions","ESO4.2","Modernising labour market institutions","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","Less developed","0.8499999968","41400000","48705882.54",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"ES","Spain","2021ES05SFPR016","Extermadura - ESF+","Adopted by EC","1.1","2022-12-22","1","Empleo, adaptabilidad emprendimiento y economía social","PO4 Social Europe","4","Social Europe","ESO4.1 Access to employment and activation measures for all","ESO4.1","Access to employment and activation measures for all","Gender Equality","01 Gender targeting","01","Gender targeting","ESF+","Less developed","0.8499999993","637501","750001.18",,,,,,,,,,"1","637501","750001.18",,,,,,,,,,"SDG 5 Achieve gender equality and empower all women and girls",,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.7 Nature protection and biodiversity","RSO2.7","Nature protection and biodiversity","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500010425","2650100","4077070.38",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.2 Education and training infrastructure","RSO4.2","Education and training infrastructure","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500000714","5920010","9107706.69",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.5 Access to health care","RSO4.5","Access to health care","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500000714","2000000","3076922.74",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"EL","Greece","2021EL16FFPR013","Peloponnisos – ERDF/ESF+","Adopted by EC","1.2","2022-09-06","4","Ενίσχυση της Κοινωνικής Συνοχής - Ανάπτυξη και βελτίωση κοινωνικών υποδομών της Περιφέρειας","PO4 Social Europe","4","Social Europe","RSO4.2 Education and training infrastructure","RSO4.2","Education and training infrastructure","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999933","17600000","20705882.52",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"ES","Spain","2021ES05SFPR015","Valencia - ESF+","Adopted by EC","1.1","2022-12-20","5","Empleo juvenil","PO4 Social Europe","4","Social Europe","ESO4.6 Quality and inclusive education and training systems","ESO4.6","Quality and inclusive education and training systems","Form of Support","01 grant","01","Grant","ESF+","Transition","0.6","6000000","10000000",,,,,,,,,,,,,,,,,,,,,,,,"YE","Youth employment"
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.6 Culture and sustainable tourism","RSO4.6","Culture and sustainable tourism","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000714","1500000","2307692.05",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.4 Climate change adaptation","RSO2.4","Climate change adaptation","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500010425","1295193","1992601.42",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"PL","Poland","2021PL16FFPR016","Pomorze Zachodnie - PL - ERDF/ESF+","Adopted by EC","1.3","2022-12-07","5","Priorytet 5 – Fundusze Europejskie na rzecz przyjaznego mieszkankom i mieszkańcom Pomorza Zachodniego","PO4 Social Europe","4","Social Europe","RSO4.5 Access to health care","RSO4.5","Access to health care","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999981","45000000","52941176.59",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.2 Renewable energy","RSO2.2","Renewable energy","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500010425","300000","461537.72",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"BE","Belgium","2021BE05SFPR001","German Speaking Community - ESF+","Adopted by EC","1.1","2022-12-19","2","aktive Inklusion","PO4 Social Europe","4","Social Europe","ESO4.8 Active inclusion and employability","ESO4.8","Active inclusion and employability","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","Transition","0.5","5187272","10374544",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500000524","12230000","18815383.1",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.2 Education and training infrastructure","RSO4.2","Education and training infrastructure","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000714","5920010","9107706.69",,,,,,,,,,,,,,,,,,,,,,,,,
"PL","Poland","2021PL16FFPR007","Mazowsze - PL - ERDF/ESF+","Adopted by EC","1.2","2022-12-02","VI","Fundusze Europejskie dla aktywnego zawodowo Mazowsza","PO4 Social Europe","4","Social Europe","ESO4.4 Adaptation of workers and enterprises to change","ESO4.4","Adaptation of workers and enterprises to change","ESF Secondary Themes","10 Addressing challenges identified in the European Semester","10","Addressing challenges identified in the European Semester","ESF+","More developed","0.5","11751000","23502000","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
"SI","Slovenia","2021SI16FFPR001","EU Cohesion Policy - SI -  ERDF/CF/ESF+/JTF","Adopted by EC","1.2","2022-12-14","1","Inovacijska družba znanja","PO1 Smarter Europe","1","Smarter Europe","RSO1.4 Skills for smart specialisation and transition","RSO1.4","Skills for smart specialisation and transition","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999986","16810200","19776705.91",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR05FFPR001","Île-de-France et bassin de la Seine - ERDF/ESF+","Adopted by EC","1.1","2022-10-27","4","Soutenir la création d'activité, la formation professionnelle et la lutte contre le décrochage scolaire en Île-de-France","PO4 Social Europe","4","Social Europe","ESO4.7 Lifelong learning and career transitions","ESO4.7","Lifelong learning and career transitions","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","More developed","0.3999999993","121279085","303197713.03",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.6 Circular economy","RSO2.6","Circular economy","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","4200000","6461528.1",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.4 Climate change adaptation","RSO2.4","Climate change adaptation","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","1295193","1992601.42",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.4 Climate change adaptation","RSO2.4","Climate change adaptation","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500010425","1295193","1992601.42",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.3 Integration of marginalised communities","RSO4.3","Integration of marginalised communities","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000714","1900000","2923076.6",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.7 Nature protection and biodiversity","RSO2.7","Nature protection and biodiversity","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","2650100","4077070.38",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.5 Access to health care","RSO4.5","Access to health care","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000714","2000000","3076922.74",,,,,,,,,,,,,,,,,,,,,,,,,
"PL","Poland","2021PL16FFPR008","Opolskie - PL - ERDF/ESF+","Adopted by EC","1.2","2022-11-30","V","FUNDUSZE EUROPEJSKIE WSPIERAJĄCE OPOLSKI RYNEK PRACY I EDUKACJĘ","PO4 Social Europe","4","Social Europe","ESO4.1 Access to employment and activation measures for all","ESO4.1","Access to employment and activation measures for all","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","Less developed","0.8499999934","56900000","66941176.99",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"PL","Poland","2021PL16FFPR009","Podkarpacie - PL - ERDF/ESF+","Adopted by EC","1.2","2022-12-05","7","KAPITAŁ LUDZKI GOTOWY DO ZMIAN","PO4 Social Europe","4","Social Europe","ESO4.5 Improving education and training systems","ESO4.5","Improving education and training systems","ESF Secondary Themes","10 Addressing challenges identified in the European Semester","10","Addressing challenges identified in the European Semester","ESF+","Less developed","0.8499999993","5000000","5882352.95","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.2 Reaping the benefits of digitisation","RSO1.2","Reaping the benefits of digitisation","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000524","3300000","5076922.67",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.1 Energy efficiency","RSO2.1","Energy efficiency","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500010425","1900000","2923072.23",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.5 Access to health care","RSO4.5","Access to health care","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500000714","2000000","3076922.74",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500000524","1680010","2584630.56",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.2 Renewable energy","RSO2.2","Renewable energy","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","300000","461537.72",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000524","1680010","2584630.56",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.2 Education and training infrastructure","RSO4.2","Education and training infrastructure","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500000714","5920010","9107706.69",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","3","Assurer la montée en gamme et le développement d’infrastructures de transport compétitif","PO3 Connected Europe","3","Connected Europe","RSO3.2 Sustainable transport","RSO3.2","Sustainable transport","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Outermost or northern sparsely populated","0.6499969618","7278252","11197363.11",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"TC","Interreg","2021TC16RFTN004","Interreg VI-B - North Sea","Adopted by EC","1.1","2022-08-12","2","Priority 2: A green transition in the North Sea region","PO2 Greener Europe","2","Greener Europe","RSO2.6 Circular economy","RSO2.6","Circular economy","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","Interreg Funds","Interreg Funds","0.6095049493","10329489","16947342.28",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","3","Assurer la montée en gamme et le développement d’infrastructures de transport compétitif","PO3 Connected Europe","3","Connected Europe","RSO3.2 Sustainable transport","RSO3.2","Sustainable transport","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Outermost or northern sparsely populated","0.6499969618","7278252","11197363.11",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500000524","10680000","16430767.91",,,,,,,,,,,,,,,,,,,,,,,,,
"SK","Slovakia","2021SK16FFPR001","Programme Slovakia – SK– ERDF/CF/JTF/ESF+","Adopted by EC","1.2","2022-11-24","4P5","Aktívne začlenenie a dostupné služby","PO4 Social Europe","4","Social Europe","RSO4.3 Integration of marginalised communities","RSO4.3","Integration of marginalised communities","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999985","37769650","44434882.43",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.6 Culture and sustainable tourism","RSO4.6","Culture and sustainable tourism","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500000714","1500000","2307692.05",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.5 Sustainable water","RSO2.5","Sustainable water","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","10150000","15615359.57",,,,,,,,,,,,,,,,,,,,,,,,,
"PL","Poland","2021PL16FFPR012","Śląskie - PL - ERDF/ESF+/JTF","Adopted by EC","1.2","2022-12-05","VIII","Fundusze Europejskie na infrastrukturę dla mieszkańca","PO4 Social Europe","4","Social Europe","RSO4.3 Integration of marginalised communities","RSO4.3","Integration of marginalised communities","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999942","20823393","24498109.58",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.7 Nature protection and biodiversity","RSO2.7","Nature protection and biodiversity","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500010425","2650100","4077070.38",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"DE","Germany","2021DE05SFPR005","Brandenburg - ESF+","Adopted by EC","1.1","2022-07-05","C","Soziale Inklusion","PO4 Social Europe","4","Social Europe","ESO4.12 Social integration of people at risk","ESO4.12","Social integration of people at risk","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","Transition","0.5999999977","83400000","139000000.53",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.6 Circular economy","RSO2.6","Circular economy","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500010425","4200000","6461528.1",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.1 Energy efficiency","RSO2.1","Energy efficiency","Form of Support","01 grant","01","Grant","ERDF","Less developed","0.6500010425","1900000","2923072.23",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.3 Integration of marginalised communities","RSO4.3","Integration of marginalised communities","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500000714","1900000","2923076.6",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.5 Sustainable water","RSO2.5","Sustainable water","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500010425","10150000","15615359.57",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","1","Développer une économie régionale innovante et compétitive par la création d’un environnement propice au développement de la recherche sur la biodiversité caribéenne, la consolidation du tissu entrepreneurial local et le soutien à l’innovation sur le territoire","PO1 Smarter Europe","1","Smarter Europe","RSO1.2 Reaping the benefits of digitisation","RSO1.2","Reaping the benefits of digitisation","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500000524","3300000","5076922.67",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","4","Doter le territoire d’infrastructures modernes pour une société inclusive","PO4 Social Europe","4","Social Europe","RSO4.6 Culture and sustainable tourism","RSO4.6","Culture and sustainable tourism","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Less developed","0.6500000714","1500000","2307692.05",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"FR","France","2021FR16RFPR001","Saint Martin ERDF","Adopted by EC","1.2","2023-03-22","2","Promouvoir un territoire régional vert par une gestion économe et plus efficiente des ressources favorisant l’économie circulaire et les énergies propres, la prévention et la gestion des risques naturels ainsi que la restauration, protection et la valorisation de la biodiversité","PO2 Greener Europe","2","Greener Europe","RSO2.5 Sustainable water","RSO2.5","Sustainable water","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.6500010425","10150000","15615359.57",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"PT","Portugal","2021PT16FFPR003","Norte Regional Programme 2021-2027","Adopted by EC","1.2","2022-12-16","4A","Norte mais Social","PO4 Social Europe","4","Social Europe","RSO4.6 Culture and sustainable tourism","RSO4.6","Culture and sustainable tourism","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ERDF","Less developed","0.8499999994","100000000","117647058.91",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"HR","Croatia","2021HR14MFPR001","Croatia - EMFAF","Adopted by EC","1.1","2022-11-30",,,"PO5 Europe closer to citizens","5","Europe closer to citizens","MSO3.1 Enabling a sustainable blue economy","3.1","Enabling a sustainable blue economy in coastal, island and inland areas, and fostering the sustainable development of fishing and aquaculture communities","Intervention Type","TOI 15 CLLD running costs and animation","15","CLLD running costs and animation","EMFAF","EMFAF","0.6999999937","7534538","10763625.81","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
