"ms","ms_name_en","cci","programme_title_short","status","version","last_adoption_date_ecms","priority_code","priority_name","policy_objective_short_name","policy_objective_code","policy_objective_name","specific_objective_short_name","specific_objective_code","specific_objective_name","dimension_type","category_title_short","category_code","category_name","fund","category_of_region","cofinancing_rate","eu_amount","total_amount","climate_weighting","eu_climate_amount","total_climate_amount","environmental_weighting","eu_environmental_amount","total_environmental_amount","biodiversity_weighting","eu_biodiversity_amount","total_biodiversity_amount","gender_weighting","eu_gender_amount","total_gender_amount","clean_air_weighting","eu_clean_air_amount","total_clean_air_amount","digital_weighting","eu_amount_digital","total_amount_digital","sustainable_urban_development","territorial_tool","territory_type","un_sdg_tracking","jtf_themes","priority_type_code","priority_type_description"
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","5","West-Noord-Brabant","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","136 Youth employment and socio-economic integration","136","Specific support for youth employment and socio‑economic integration of young people","JTF","JTF","0.4999999957","1533774","3067548.03","1","1533774","3067548.03","0","0","0","0","0","0",,,,"0","0","0","0.4","613509.6","1227019.212",,,,"SDG 8 Decent work and economic growth","Skills, job-search and education",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","1","Priorité 1 : Recherche, innovation, numérique, compétitivité et réindustrialisation","PO1 Smarter Europe","1","Smarter Europe","RSO1.3 Growth and competitiveness of SMEs","RSO1.3","Growth and competitiveness of SMEs","Form of Support","02 Financial instruments: equity or quasi-equity","02","Support through financial instruments: equity or quasi-equity","ERDF","More developed","0.4","16706250","41765625",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","9","Priorité 9 : Formation, emploi, création, orientation, santé","PO4 Social Europe","4","Social Europe","ESO4.7 Lifelong learning and career transitions","ESO4.7","Lifelong learning and career transitions","Form of Support","01 grant","01","Grant","ESF+","More developed","0.3999999993","49692750","124231875.22",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","4","Priorité 4 : Santé et tourisme","PO4 Social Europe","4","Social Europe","RSO4.6 Culture and sustainable tourism","RSO4.6","Culture and sustainable tourism","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","More developed","0.4","12200000","30500000",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"SK","Slovakia","2021SK16FFPR001","Programme Slovakia – SK– ERDF/CF/JTF/ESF+","Adopted by EC","1.2","2022-11-24","4P5","Aktívne začlenenie a dostupné služby","PO4 Social Europe","4","Social Europe","ESO4.9 Integration of third country nationals","ESO4.9","Integration of third country nationals","Territorial delivery mechanism / territorial focus","33 Other approaches: No territorial targeting","33","Other  approaches - No territorial targeting","ESF+","Less developed","0.8499999974","16360000","19247058.88",,,,,,,,,,,,,,,,,,,"Non-SUD","Other approaches","No territorial targeting",,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","6","Zuid-Limburg","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","136 Youth employment and socio-economic integration","136","Specific support for youth employment and socio‑economic integration of young people","JTF","JTF","0.4999999957","703806.46","1407612.93","1","703806.46","1407612.93","0","0","0","0","0","0",,,,"0","0","0","0.4","281522.584","563045.172",,,,"SDG 8 Decent work and economic growth","Skills, job-search and education",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","9","Priorité 9 : Formation, emploi, création, orientation, santé","PO4 Social Europe","4","Social Europe","ESO4.7 Lifelong learning and career transitions","ESO4.7","Lifelong learning and career transitions","ESF Secondary Themes","10 Addressing challenges identified in the European Semester","10","Addressing challenges identified in the European Semester","ESF+","More developed","0.3999999993","44723476","111808690.2","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","8","Priorité 8 : Rhône Saône","PO5 Europe closer to citizens","5","Europe closer to citizens","RSO5.2 Integrated development in rural and coastal areas","RSO5.2","Integrated development in rural and coastal areas","Form of Support","01 grant","01","Grant","ERDF","Transition","0.6","25188406","41980676.67",,,,,,,,,,,,,,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","2","IJmond","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","048 Renewable energy: solar","048","Renewable energy: solar","JTF","JTF","0.4999999957","938408.68","1876817.38","1","938408.68","1876817.38","0.4","375363.47","750726.95","0","0","0",,,,"0.4","375363.47","750726.95","0","0","0",,,,"SDG 7 Affordable and clean energy","Clean energy",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","8","Priorité 8 : Rhône Saône","PO5 Europe closer to citizens","5","Europe closer to citizens","RSO5.2 Integrated development in rural and coastal areas","RSO5.2","Integrated development in rural and coastal areas","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.6","25188406","41980676.67",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","5","West-Noord-Brabant","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","053 Smart Energy Systems and related storage","053","Smart Energy Systems (including smart grids and ICT systems) and related storage","JTF","JTF","0.4999999957","3807606","7615212.07","1","3807606","7615212.07","0.4","1523042.4","3046084.83","0","0","0",,,,"0.4","1523042.4","3046084.83","0.4","1523042.4","3046084.828",,,,"SDG 7 Affordable and clean energy","Clean energy",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","6","Zuid-Limburg","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","145 Digital skills","145","Support for the development of digital skills","JTF","JTF","0.4999999957","760111","1520222.01","1","760111","1520222.01","0","0","0","0","0","0",,,,"0","0","0","1","760111","1520222.01",,,,"SDG 4 Quality education","Skills, job-search and education",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","5","West-Noord-Brabant","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","075 Enviro-friendly production processes in SMEs","075","Support to environmentally‑friendly production processes and resource efficiency in SMEs","JTF","JTF","0.4999999957","7369780","14739560.13","1","7369780","14739560.13","0.4","2947912","5895824.05","0","0","0",,,,"0.4","2947912","5895824.05","0","0","0",,,,"SDG 12 Responsible consumption and production","SMEs and diversification",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","2","IJmond","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Form of Support","01 grant","01","Grant","JTF","JTF","0.4999999957","56304516","112609032.97",,,,,,,,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","9","Priorité 9 : Formation, emploi, création, orientation, santé","PO4 Social Europe","4","Social Europe","ESO4.6 Quality and inclusive education and training systems","ESO4.6","Quality and inclusive education and training systems","ESF Secondary Themes","10 Addressing challenges identified in the European Semester","10","Addressing challenges identified in the European Semester","ESF+","More developed","0.3999999993","16528782","41321955.07","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","2","Priorité 2 : Transition énergétique et environnement","PO2 Greener Europe","2","Greener Europe","RSO2.2 Renewable energy","RSO2.2","Renewable energy","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","More developed","0.4","27300000","68250000",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","4","Zeeuws-Vlaanderen","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","011 R+I activities in large enterprises","011","Research and innovation activities in large enterprises, including networking","JTF","JTF","0.4999999957","2815226","5630452.05","1","2815226","5630452.05","0","0","0","0","0","0",,,,"0","0","0","0","0","0",,,,"SDG 9 Industry, innovation, infrastructure","SMEs and diversification",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","5","West-Noord-Brabant","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","145 Digital skills","145","Support for the development of digital skills","JTF","JTF","0.4999999957","1000000","2000000.02","1","1000000","2000000.02","0","0","0","0","0","0",,,,"0","0","0","1","1000000","2000000.02",,,,"SDG 4 Quality education","Skills, job-search and education",,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","2","IJmond","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","010 R+I activities in SMEs","010","Research and innovation activities in SMEs, including networking","JTF","JTF","0.4999999957","2815225.78","5630451.61","1","2815225.78","5630451.61","0","0","0","0","0","0",,,,"0","0","0","0","0","0",,,,"SDG 9 Industry, innovation, infrastructure","SMEs and diversification",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","7","Priorité 7 : Massif Central","PO5 Europe closer to citizens","5","Europe closer to citizens","RSO5.2 Integrated development in rural and coastal areas","RSO5.2","Integrated development in rural and coastal areas","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","More developed","0.4","8115943","20289857.5",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL16JTPR001","Nederland – NL – JTF","Adopted by EC","2","2023-07-12","2","IJmond","PO8 JTF specific objective","8","JTF specific objective","JSO8.1 Just Transition Fund","JSO8.1","Just Transition Fund","Intervention Field","075 Enviro-friendly production processes in SMEs","075","Support to environmentally‑friendly production processes and resource efficiency in SMEs","JTF","JTF","0.4999999957","5945677.35","11891354.8","1","5945677.35","11891354.8","0.4","2378270.94","4756541.92","0","0","0",,,,"0.4","2378270.94","4756541.92","0","0","0",,,,"SDG 12 Responsible consumption and production","SMEs and diversification",,
"FR","France","2021FR16FFPR018","Auvergne-Rhône-Alpes - ERDF/ESF+/JTF","Adopted by EC","2","2023-03-31","2","Priorité 2 : Transition énergétique et environnement","PO2 Greener Europe","2","Greener Europe","RSO2.2 Renewable energy","RSO2.2","Renewable energy","Gender Equality","03 Gender neutral","03","Gender neutral","ERDF","Transition","0.5999999968","14100000","23500000.13",,,,,,,,,,"0","0","0",,,,,,,,,,,,,
"NL","Netherlands","2021NL16RFPR004","Oost-Nederland – NL – ERDF","Adopted by EC","2","2023-07-12","1","Een slimmer Oost-Nederland door de bevordering van een innovatieve en slimme economische transformatie","PO1 Smarter Europe","1","Smarter Europe","RSO1.1 Enhancing research and innovation","RSO1.1","Enhancing research and innovation","Intervention Field","029 Low carbon R+I processes, tech-transfer and cooperation","029","Research and innovation processes, technology transfer and cooperation between enterprises, research centres and universities, focusing on the low carbon economy, resilience and adaptation to climate change","ERDF","More developed","0.3678263732","5447618","14810297.46","1","5447618","14810297.46","0.4","2179047.2","5924118.98","0","0","0",,,,"0.4","2179047.2","5924118.98","0","0","0",,,,"SDG 9 Industry, innovation, infrastructure","RTDI",,
